"summary_id","cnr"
"019ba0cd-a7c4-7c50-9b1d-c89b38d16f4f","ESCR010000012025"
"019ba0cf-9e46-7622-8bb5-241e4f244cc9","ESCR010000022025"
"019ba0cf-ddf3-762b-9992-28180bee7467","ESCR010000032025"
"019ba0d0-26b7-7fdf-9bb0-8f4cf85f5215","ESCR010000042025"
"019ba0d1-5f7f-7714-8f68-7b07abc0f0d9","ESCR010000062025"
"019ba0d4-95e3-78e9-9405-e249a4cceb36","ESCR010000072025"
"019ba0d6-e528-718d-a908-bd2ccb9ccc61","ESCR010000082025"
"019ba0db-bd4b-7c3f-95af-958c1caf2d91","ESCR010000092025"
"019ba0df-d815-7de5-ae52-77ee1b5c5303","ESCR010000142025"
"019ba0e3-f5a9-79da-b9f7-608fd5f70640","ESCR010000162025"
"019ba0f9-3bbf-728c-b464-94436469da3d","ESCR010000232025"
"019ba0fa-3bbb-7f22-9341-2d62ab1d47b6","ESCR010000242025"
"019ba0fd-3abb-7192-807b-977c12563703","ESCR010001152025"
"019ba0ff-c6ff-7b92-a0cc-d22a5542157c","ESCR010001192025"
"019ba100-891c-716f-844d-a43603cda940","ESCR010001202025"
"019ba102-e665-76dc-8ad7-cb863dfebc9c","ESCR010001212025"
"019ba106-6444-7a2d-a9bd-6ae9ac8149f2","ESCR010001222025"
"019ba107-c07b-7bd2-8398-ce5b4b505f76","ESCR010001232025"
"019ba10a-70e8-7ca7-9015-4f856d1343dc","ESCR010001642025"
"019ba10e-4eb1-755c-8aef-c58ad9c57930","ESCR010001652025"
